City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,lluta,-16.0147,-72.0142,285.19,46,6,1.59,PE,1695163678
164,porto novo,6.4965,2.6036,299.05,92,93,2.03,BJ,1695163678
165,atafu village,-8.5421,-172.5159,300.98,78,100,6.29,TK,1695163678
166,aghajari,30.7006,49.8315,304.22,11,1,2.14,IR,1695163678
167,port alfred,-33.5906,26.891,290.15,88,65,5.31,ZA,1695163679
168,haiku-pauwela,20.9219,-156.3051,303.16,51,20,12.35,US,1695163679
169,hurricane,37.1753,-113.2899,305.34,22,0,4.47,US,1695163679
170,bengkulu,-3.8004,102.2655,296.52,93,91,1.96,ID,1695163679
171,udomlya,57.8794,34.9925,286.84,69,20,4.56,RU,1695163680
172,crane,31.3974,-102.3501,308.92,18,1,4.56,US,1695163680
173,lorengau,-2.0226,147.2712,301.88,73,89,3.35,PG,1695163680
174,brisas de zicatela,15.8369,-97.0419,302.99,64,54,1.33,MX,1695163680
175,meadow lakes,61.6247,-149.6011,286.54,55,0,1.54,US,1695163681
176,sudak,44.85,34.9667,291.85,64,0,3.54,UA,1695163681
177,lompoc,34.6391,-120.4579,301.36,72,0,8.49,US,1695163681
178,nar'yan-mar,67.6713,53.087,280.2,84,100,10.87,RU,1695163681
179,argo,37.6333,22.7333,294.14,60,26,0.97,GR,1695163682
180,villa gesell,-37.2639,-56.973,283.74,80,100,5.16,AR,1695163682
181,awjilah,29.1081,21.2869,297.23,63,22,3.92,LY,1695163682
182,east london,-33.0153,27.9116,290.81,84,75,3.57,ZA,1695163683
183,arboga,59.3939,15.8388,284.38,96,100,2.04,SE,1695163683
184,asau,46.4333,26.4,287.66,91,100,2.57,RO,1695163683
185,iskateley,67.6803,53.1512,280.14,84,100,10.88,RU,1695163683
186,west island,-12.1568,96.8225,298.14,78,100,4.12,CC,1695163684
187,rice lake,45.5061,-91.7382,297.33,69,0,6.17,US,1695163684
188,monterey,36.2505,-121.2516,297.69,1,0,5.39,US,1695163684
189,newman,37.3138,-121.0208,303.74,28,0,1.04,US,1695163684
190,ingeniero guillermo n. juarez,-23.9,-61.85,298.9,40,20,2.34,AR,1695163685
191,praia da vitoria,38.7333,-27.0667,296.29,88,40,5.76,PT,1695163685
192,la cruz,23.9167,-106.9,304.36,68,10,4.39,MX,1695163685
193,jamestown,42.097,-79.2353,290.92,55,0,5.14,US,1695163577
194,jonquiere,48.4165,-71.2488,288.21,88,100,4.12,CA,1695163686
